,surface_points,surface_disp_step1,surface_disp_step2,surface_disp_step3,surface_disp_step4,surface_disp_step5,surface_disp_step6,surface_disp_step7,surface_disp_step8,surface_disp_step9,surface_disp_step10,surface_disp_step11,surface_disp_step12,surface_disp_step13,surface_disp_step14,surface_disp_step15,surface_disp_step16,surface_disp_step17,surface_disp_step18,surface_disp_step19,surface_disp_step20,surface_disp_step21,surface_disp_step22,surface_disp_step23,surface_disp_step24,surface_disp_step25,surface_disp_step26,surface_disp_step27,surface_disp_step28,surface_disp_step29,surface_disp_step30,surface_disp_step31,surface_disp_step32,surface_disp_step33,surface_disp_step34,surface_disp_step35,surface_disp_step36,surface_disp_step37,surface_disp_step38,surface_disp_step39,surface_disp_step40,surface_disp_step41,surface_disp_step42,surface_disp_step43,surface_disp_step44,surface_disp_step45,surface_disp_step46,surface_disp_step47,surface_disp_step48,surface_disp_step49,surface_disp_step50,surface_disp_step51,surface_disp_step52,surface_disp_step53,surface_disp_step54,surface_disp_step55,surface_disp_step56,surface_disp_step57,surface_disp_step58,surface_disp_step59,surface_disp_step60,surface_disp_step61,surface_disp_step62,surface_disp_step63,surface_disp_step64,surface_disp_step65,surface_disp_step66,surface_disp_step67,surface_disp_step68,surface_disp_step69,surface_disp_step70,surface_disp_step71,surface_disp_step72,surface_disp_step73,surface_disp_step74,surface_disp_step75,surface_disp_step76,surface_disp_step77,surface_disp_step78,surface_disp_step79,surface_disp_step80
0,0.07734375,-32.7271890067919,-50.87987611396748,-68.46836769040516,-85.56938798822026,-102.21836359140006,-118.43533099686219,-134.2344805489127,-149.6276751546891,-164.6257503882398,-179.2389975796308,-193.47734596134814,-207.35043389414602,-220.8676391424564,-234.03809396592948,-246.87069451762045,-259.37410804624886,-271.55677919311574,-283.42693586155053,-294.992594837399,-306.26156722873174,-317.24146375224495,-327.9396998787479,-338.3635008445166,-348.5199065331525,-358.4157762317369,-368.0577932647007,-377.4524695086337,-386.60614979113615,-395.52501617671305,-404.21509214263205,-412.68224664757923,-420.9321980958765,-428.97051819994846,-436.8026357436589,-444.43384024906334,-451.8692855490644,-459.11399326838597,-466.1728562152233,-473.0506416858655,-479.7519946845222,-486.2814410605363,-492.6433905651008,-498.8421398295509,-504.88187526723937,-510.7666759009628,-516.5005161178451,-522.0872683535432,-527.5307057075878,-532.834504491628,-538.002246712299,-543.0374224903948,-547.9434324179751,-552.7235898550063,-557.3811231670795,-561.9191779057261,-566.3408189327967,-570.649032490344,-574.8467282174042,-578.9367411150425,-582.9218334609861,-586.804696675143,-590.5879531372626,-594.274157957969,-597.8658007043604,-601.3653070813418,-604.7750405698291,-608.097304022925,-611.3343412211515,-614.4883383877833,-617.5614256653135,-620.5556785540389,-623.4731193137453,-626.315718329434,-629.0853954420163,-631.7840212448696,-634.4134183471358,-636.975362604612,-639.4715843190663,-641.9037694067881,-644.2735605371632
1,0.0765625,-33.89013796231799,-52.68803730444811,-70.90176866387951,-88.61077137365838,-105.85172224771088,-122.64536293764883,-139.0063824791472,-154.9470606994307,-170.4786142885868,-185.6116968949267,-200.3565876302087,-214.7232647438043,-228.72143691245492,-242.36055882139252,-255.64984086032118,-268.5982565530828,-281.2145490554592,-293.5072372145655,-305.4846213736912,-317.1547889924666,-328.5256201102679,-339.60479266529524,-350.3997876760426,-360.9178942897258,-371.16621470141433,-381.1516689472627,-390.8809995750659,-400.3607761952575,-409.59739991538447,-418.5971076610185,-427.3659763859892,-435.90992717475643,-444.23472923967205,-452.34600381580896,-460.24922795597314,-467.9497382284485,-475.45273431995736,-482.7632825462635,-489.8863192727769,-496.8266542474637,-503.5889738483059,-510.17784424749595,-516.5977144945033,-522.852919520083,-528.9476830632583,-534.8861205232454,-540.6722417382455,-546.3099536929772,-551.8030631567767,-557.1552792540431,-562.3702159687633,-567.451394584808,-572.402246063641,-577.2261133610521,-581.9262536844702,-586.5058406923852,-590.9679666373596,-595.3156444540783,-599.5518097938444,-603.6793230068932,-607.7009710738662,-611.6194694877437,-615.4374640875112,-619.1575328447933,-622.782187604663,-626.3138757818025,-629.754982013158,-633.1078297682069,-636.3746829179213,-639.5577472634909,-642.6591720258338,-645.6810512969029,-648.6254254537662,-651.4942825364183,-654.2895595902505,-657.0131439740863,-659.6668746346679,-662.2525433484507,-664.7718959315472,-667.2266334186361
2,0.07578125000000001,-34.99991827557265,-54.41321985293568,-73.22314813343192,-91.51175500793813,-109.31692690987208,-126.66009150029501,-143.55642435501952,-160.01861202195556,-176.0582424011844,-191.68632137562935,-206.9134676020044,-221.7499886795933,-236.205913525639,-250.29100851301527,-264.0147875195929,-277.38651962949314,-290.41523586635725,-303.1097354696341,-315.4785919047538,-327.5301586800727,-339.2725749999446,-350.7137712671609,-361.86147444199526,-372.72321326280303,-383.3063233322245,-393.61795207264015,-403.6650635543244,-413.4544431996084,-422.9927023662627,-432.286282813213,-441.34146105162847,-450.1643525843261,-458.76091603637167,-467.1369571796733,-475.2981328542941,-483.24995478913763,-490.997793324593,-498.5468810396586,-505.9023162859988,-513.0690666313209,-520.051972214405,-526.8557490140528,-533.4849920341654,-539.9441784071056,-546.2376704174378,-552.3697184480955,-558.3444638509609,-564.1659417438018,-569.8380837354524,-575.3647205810819,-580.7495847693426,-585.9963130431479,-591.1084488557816,-596.0894447639988,-600.9426647597347,-605.6713865419963,-610.2788037304729,-614.7680280223592,-619.1420912938504,-623.4039476477246,-627.5564754084004,-631.6024790658153,-635.5446911694361,-639.3857741736854,-643.128322236024,-646.7748629689111,-650.3278591468192,-653.789710369462,-657.1627546823535,-660.4492701557981,-663.651476423375,-666.7715361809544,-669.8115566472636,-672.7735909869843,-675.6596396973445,-678.4716519591402,-681.2115269531023,-683.8811151424933,-686.4822195228045,-689.0165968393939
3,0.07500000000000001,-36.05662556838448,-56.05620094749141,-75.43425931670618,-94.27531918423485,-112.61840264837429,-130.4855778176895,-147.8924731609407,-164.85215385326842,-181.37655391551513,-197.47700829144168,-213.164453412274,-228.44950558704244,-243.34249429739208,-257.85347877841593,-271.9922583373159,-285.768380260272,-299.1911467274341,-312.269621261142,-325.01263490306263,-337.4287921946471,-349.52647699064306,-361.31385811892966,-372.79889489384203,-383.98934248786554,-394.8927571656987,-405.5165013843082,-415.8677487624171,-425.9534889227527,-435.7805322102844,-445.3555142896086,-454.6849006245554,-463.77499084301513,-472.63192298991464,-481.2616776711962,-489.6700820915826,-497.8628139888437,-505.845405467207,-513.6232467324959,-521.2015897315075,-528.5855516980802,-535.78011860824,-542.7901485467551,-549.6203749873656,-556.2754099888986,-562.7597473094266,-569.0777654405671,-575.2337305639672,-581.2317994319724,-587.0760221744179,-592.7703450334385,-598.3186130281431,-603.7245725509451,-608.9918738973113,-614.1240737306258,-619.1246374838399,-623.9969416995235,-628.7442763099008,-633.3698468584067,-637.8767766642679,-642.2681089315603,-646.546808804177,-650.7157653680894,-654.7777936022493,-658.7356362794558,-662.591965818466,-666.3493860886003,-670.010434168061,-673.5775820571533,-677.0532383475597,-680.4397498488013,-683.739403172981,-686.9544262788766,-690.08698997643,-693.139209392647,-696.1131453998964,-699.0108060075725,-701.8341477180632,-704.585076847937,-707.2654508152414,-709.8770793937815
4,0.07421875,-37.05686141026879,-57.61108799891248,-77.52648352181444,-96.88992163140492,-115.74151502805664,-134.10395042830424,-151.99329507698167,-169.4229809459717,-186.40527681811804,-202.9518352742611,-219.07389892778158,-234.78238106670415,-250.08789992946242,-265.00079578920685,-279.53114159239345,-293.68875111154995,-307.4831860733851,-320.9237628032217,-334.0195585878009,-346.7794178335998,-359.2119580517215,-371.32557568336273,-383.12845177350835,-394.6285574980862,-405.83365954885994,-416.7513253799186,-427.3889283194068,-437.75365254999735,-447.8524979615015,-457.69228487891405,-467.279658669104,-476.62109422927136,-485.72290036021457,-494.59122402736864,-503.2320545125007,-511.6512274588708,-519.8544288125968,-527.847198662888,-535.6349349837483,-543.2228972796738,-550.6162101378153,-557.8198666890029,-564.838731979976,-571.677546259095,-578.340928177757,-584.8333779096789,-591.1592801901563,-597.3229072773495,-603.3284218376021,-609.1798797567362,-614.881232879229,-620.4363316771165,-625.8489278504329,-631.1226768609357,-636.261140400835,-641.2677887981897,-646.146003360598,-650.8990786587657,-655.5302247514926,-660.042569353582,-664.4391599481362,-668.7229658446676,-672.8968801844107,-676.9637218941951,-680.9262375901947,-684.7871034328409,-688.5489269341532,-692.214248718707,-695.7855442394282,-699.2652254493729,-702.6556424306226,-705.9590849813945,-709.1777841624379,-712.3139138037627,-715.3695919727173,-718.3468824044055,-721.2477958954113,-724.0742916617712,-726.8282786621118,-729.5116168868458
5,0.0734375,-38.00081208853943,-59.078759472803135,-79.5016726792681,-99.35862830657585,-118.69075315316654,-137.52130572731593,-155.86675757614844,-173.74087867155734,-191.15624678792014,-208.12480828073728,-224.65808947395493,-240.76727928317544,-256.46326431024727,-271.7566463215845,-286.65775312588926,-301.17664690947623,-315.32313152582003,-329.10675929284713,-342.5368375042859,-355.6224347335403,-368.37238696147,-380.79530354208543,-392.8995730137368,-404.69336876095554,-416.18465453117824,-427.38118981018255,-438.29053505987025,-448.92005682190813,-459.2769326906417,-469.3681561586094,-479.2005413379029,-488.7807275605382,-498.11518386092547,-507.21021334344806,-516.0719574380884,-524.7064000469568,-533.1193715845217,-541.3165529142524,-549.3034791843318,-557.0855435650199,-564.6680008901852,-572.0559712054612,-579.2544432254169,-586.2682777020738,-593.1022107070404,-599.7608568294759,-606.2487122920446,-612.5701579869569,-618.7294624341488,-624.730784663596,-630.5781770237054,-636.2755879176796,-641.826864469701,-647.2357551227362,-652.5059121697115,-657.6408942197687,-662.6441686012672,-667.5191137031517,-672.2690212562694,-676.8970985561725,-681.4064706289086,-685.800182341263,-690.0812004568735,-694.2524156396081,-698.3166444055574,-702.2766310249601,-706.1350493753448,-709.8945047471403,-713.5575356029719,-717.1266152918317,-720.6041537192835,-723.9924989748242,-727.2939389175052,-730.5107027208826,-733.6449623783395,-736.6988341697969,-739.674380090801,-742.5736092449587,-745.3984792006524,-748.1508973129586
6,0.07265625,-38.88533667250108,-60.45376463148983,-81.35184236206963,-101.67072967325217,-121.45251822421291,-140.72101391579318,-159.49307660192662,-177.7828008658814,-195.6030607321245,-212.96608363736468,-229.8836668371868,-246.36726202429517,-262.42801129333174,-278.0767650664904,-293.32409325573747,-308.1802938168263,-322.655400228299,-336.75918846309963,-350.5011836647806,-363.8906666092249,-376.9366799844555,-389.6480345032148,-402.0333148563295,-414.10088551234287,-425.85889636789824,-437.3152882529164,-448.47779829438696,-459.3539651424438,-469.95113406228575,-480.27646189540025,-490.33692189345504,-500.1393084281351,-509.6902415801123,-518.9961716102592,-528.0633833161301,-536.8980002766571,-545.5059889879348,-553.8931628928888,-562.065186307555,-570.027578246622,-577.7857161508251,-585.3448395187089,-592.7100534452184,-599.8863320695023,-606.878521934267,-613.6913452589449,-620.3294031288914,-626.7971786027671,-633.0990397402003,-639.2392425517813,-645.2219338733757,-651.051154166702,-656.7308402480646,-662.2648279470864,-667.6568546972346,-672.9105620598938,-678.0294981836852,-683.0171202007008,-687.876796561266,-692.6118093088066,-697.2253562963624,-701.7205533462403,-706.1004363542648,-710.367963340052,-714.5260164446863,-718.5774038771531,-722.5248618108408,-726.3710562313918,-730.118584737153,-733.7699782934404,-737.3277029418017,-740.7941614654334,-744.171695011876,-747.4625846740842,-750.6690530309369,-753.7932656482335,-756.8373325411826,-759.8033095993767,-762.6931999752143,-765.5089554367034
7,0.07187500000000001,-39.71071096642944,-61.7370778020871,-83.0789317958305,-103.82935844986824,-124.03133570237927,-143.70916906489694,-162.8800716103298,-181.55843321085368,-199.75739784820587,-217.48944963635893,-234.7666337283467,-251.60064266294597,-268.0028530426761,-283.98434380184614,-299.55590757627255,-314.7280594156697,-329.5110444028109,-343.9148447579836,-357.9491866444076,-371.6235467566606,-384.9471587249461,-397.92901934986855,-410.57789467565686,-422.9023259072484,-434.9106351756602,-446.61093115566496,-458.0111145395749,-469.1188833708126,-479.9417382408383,-490.4869873529207,-500.7617514561412,-510.7729686529475,-520.5273990834806,-530.0316294898277,-539.2920776632676,-548.314996777503,-557.1064796107951,-565.6724626598435,-574.018730148186,-582.1509179318133,-590.0745173046357,-597.7948787063659,-605.3172153353163,-612.6466066685475,-619.7880018917461,-626.7462232411358,-633.5259692596882,-640.1318179698194,-646.5682299647215,-652.8395514204063,-658.9500170305037,-664.9037528657844,-670.7047791603471,-676.3570130263424,-681.864271099071,-687.2302721142376,-692.4586394191039,-697.5529034192326,-702.5165039624774,-707.3527926618215,-712.0650351586428,-716.6564133279251,-721.1300274269072,-725.4888981886221,-729.7359688617364,-733.8741071980688,-737.9061073891304,-741.8346919529922,-745.6625135727563,-749.3921568878671,-753.0261402394816,-756.5669173710628,-760.0168790853605,-763.3783548588863,-766.6536144149767,-769.8448692565091,-772.9542741593019,-775.9839286272086,-778.9358783098884,-781.8121163842102
8,0.07109375000000001,-40.474070904300966,-62.92372370406131,-84.67564004509146,-105.82470386243105,-126.41472626496622,-146.47048556653422,-166.0095302835472,-185.04653071285145,-203.59488674788102,-221.66732529498628,-239.27612551793962,-256.43320691061865,-273.1501667291433,-289.43829864827853,-305.3086043784679,-320.77180256835817,-335.8383365885831,-350.5183817875744,-364.82185244000937,-378.7584084720986,-392.33746199759804,-405.5681836798143,-418.45950892793434,-431.0201439333801,-443.25857155084486,-455.18305702821806,-466.80165358936705,-478.12220787359627,-489.1523652354843,-499.89957490869836,-510.3710950372853,-520.573997577849,-530.5151730759326,-540.2013353198387,-549.6390258750379,-558.8346185022305,-567.7943234620523,-576.5241917093333,-585.0301189797468,-593.3178497716103,-601.3929812255304,-609.2609669045139,-616.9271204771003,-624.3966193060039,-631.6745079446908,-638.7657015442536,-645.6749891728857,-652.407037050198,-658.9663916985639,-665.3574830136193,-671.5846272559955,-677.6520299663014,-683.5637888053305,-689.323896321405,-694.9362426467289,-700.4046181245742,-705.7327158690694,-710.9241342593236,-715.9823793695706,-720.91086733697,-725.7129266686718,-730.3918004896964,-734.9506487331512,-739.3925502742642,-743.7205050096729,-747.9374358833749,-752.0461908607078,-756.0495448516945,-759.9502015850456,-763.7507954340944,-767.4538931958889,-771.0619958246483,-774.5775401207522,-778.002900376403,-781.3403899790745,-784.5922629738275,-787.7607155855513,-790.8478877021522,-793.8558643197003,-796.7866769505016
9,0.0703125,-41.17578010692802,-64.01476651898643,-86.14398167459287,-107.65994607643037,-128.6072238291194,-149.01101759587377,-168.88917585105193,-188.25661964875064,-207.12697814103396,-225.51319623161885,-243.4277636402394,-260.8828044404442,-277.890115094874,-294.46118340040647,-310.60720027977254,-326.33906881729774,-341.66741216070096,-356.6025808889138,-371.15466006960725,-385.33347609155095,-399.1486033058829,-412.6093704915252,-425.724867153001,-438.503949656277,-450.9552472072391,-463.0871676769716,-474.9079032777962,-486.425436093887,-497.64754347017345,-508.5818032631451,-519.235598957083,-529.6161246491529,-539.73038990671,-549.5852245000854,-559.1872830140342,-568.5430493409514,-577.658841058884,-586.5408136972828,-595.1949648933754,-603.6271384419542,-611.843028241316,-619.84818213801,-627.6480056729882,-635.2477657316842,-642.6525941004837,-649.8674909319847,-656.8973281213836,-663.7468525962715,-670.4206895220539,-676.9233454251577,-683.2592112361395,-689.4325652547401,-695.4475760388925,-701.3083052196323,-707.0187102438075,-712.5826470464435,-718.0038726545635,-723.2860477242234,-728.4327390124763,-733.4474217859291,-738.333482167524,-743.0942194231258,-747.7328481894585,-752.2525006448959,-756.6562286245738,-760.9470056812481,-765.1277290932921,-769.2012218211914,-773.1702344138506,-777.0374468660063,-780.8054704279972,-784.4768493691097,-788.0540626956982,-791.5395258252324,-794.9355922174041,-798.2445549633981,-801.4686483343951,-804.6100492903572,-807.67087895011,-810.653204023718
